index,title,id,description
121,Combination Chemotherapy in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00014105,"OBJECTIVES: I. Determine the maximum tolerated dose (MTD) of temozolomide and carboplatin in patients with recurrent glioblastoma multiforme. II. Determine the acute and long-term toxic effects of this regimen in these patients. III. Determine the pharmacokinetics of this regimen in these patients. IV. Determine the potential of either a pharmacokinetic- or pharmacodynamic-mediated drug interaction in patients treated with this regimen. V. Determine the objective response rate in patients treated with the established MTD of this regimen. VI. Determine time to tumor progression and survival in patients treated with this regimen.  OUTLINE: This is a dose-escalation study. Patients are stratified according to prior nitrosourea-based chemotherapy (yes vs no). Patients receive carboplatin IV over 30 minutes on day 1 and oral temozolomide once daily on days 1-5. Treatment repeats every 28 days for a maximum of 6 courses in the absence of disease progression or unacceptable toxicity. Patients with a persistent response may continue to receive temozolomide only for an additional 6 courses. Cohorts of 3-6 patients receive escalating doses of carboplatin and temozolomide until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 2 of 3 or 2 of 6 patients experience dose-limiting toxicity. Once the MTD is determined, additional patients are accrued to receive carboplatin and temozolomide at the recommended phase II dose.  PROJECTED ACCRUAL: A total of 13-70 patients (3-30 for phase I and 10-40 for phase II) will be accrued for this study."
122,Open-label Trial of Imatinib Mesylate in Patients With Unresectable Recurrent Glioblastoma Multiforme Expressing PDGFR (Platelet Derived Growth Factor Receptors),NCT00171938,"This is an open label clinical trial of imatinib mesylate 800 mg po/day in a population of patients with unresectable, recurrent glioblastoma multiforme. Patients will be treated for up to 12 months"
123,Temozolomide vs. Temozolomide and Thalidomide Treatment in Recurrent Glioblastoma,NCT00521482,Primary objectives: To determine the proportion of patients with progression- free survival after 6 months of intensive dose temozolomide treatment alone or in combination with thalidomide in patients with recurrent glioblastoma multiforme after standard therapy. Secondary objectives: To assess the effects on tumor growth. To determine the time to disease progression. To determine the proportion of patients with progression- free survival. To assess the safety of intensive dose temozolomide treatment alone or in combination with thalidomide. Explorative evaluations: To assess health related Quality of Life. To assess cognitive functioning. To compare the two treatment arms in terms of efficacy and safety.
124,Temozolomide Plus Carboplatin in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00021307,"OBJECTIVES: I. Determine the maximum tolerated dose (MTD) of temozolomide and carboplatin in patients with recurrent glioblastoma multiforme. II. Determine the toxic effects of this regimen in these patients. III. Determine the pharmacokinetics of this regimen in these patients. IV. Determine the potential of either a pharmacokinetic or pharmacodynamic-mediated drug interaction in patients treated with this regimen. V. Determine the objective response rate and stabilization rate in patients treated with this regimen at the MTD. VI. Determine the acute and long-term toxic effects of this regimen at the MTD in these patients. VII. Determine the time to tumor progression and survival of patients treated with this regimen.  OUTLINE: This is a dose-escalation study. Patients are stratified according to age (under 50 vs 50 and over), ECOG performance status (0 vs 1-2), and prior therapy with carmustine or lomustine (yes vs no). Patients receive carboplatin IV over 30 minutes on day 1 and oral temozolomide on days 1-5. Treatment repeats every 4 weeks for a total of 6 courses in the absence of disease progression or unacceptable toxicity. Patients with stable or responsive disease may receive 6 additional courses of temozolomide. Cohorts of 1-6 patients receive escalating doses of carboplatin and temozolomide until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which at least 2 of 3 or 2 of 6 patients experience dose-limiting toxicity. Additional patients are treated at the MTD.  PROJECTED ACCRUAL: Approximately 3-30 patients will be accrued for phase I of this study. A total of 16-58 patients will be accrued for phase II of this study."
125,Glufosfamide in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00014300,"OBJECTIVES: I. Determine the activity of glufosfamide, in terms of objective response rate and/or progression-free survival at 6 months, in patients with recurrent glioblastoma multiforme. II. Determine the duration of objective response in patients treated with this regimen. III. Determine the toxic effects and pharmacokinetic profile of this regimen in these patients.  OUTLINE: This is a multicenter study. Patients receive glufosfamide IV over 60 minutes on day 1. Treatment repeats every 3 weeks in the absence of disease progression or unacceptable toxicity. Patients with stable disease receive treatment for a minimum of 6 months or until progression. Patients with an objective complete response receive a maximum of 2 additional courses of treatment after confirmation of response. Patients are followed every 6 weeks until progression.  PROJECTED ACCRUAL: A total of 28 patients will be accrued for this study."
126,Capecitabine + Bevacizumab in Patients With Recurrent Glioblastoma,NCT02669173,Primary Objective: To achieve a 20-fold MDSC reduction in the concentration of circulating MDSCs after treatment with low dose capecitabine.  Secondary Objectives:  To determine the concentration of circulating MDSCs in patients with recurrent glioblastoma after treatment with low dose capecitabine To determine the concentration of tissue MDSCs and T-regulatory cells in resected glioblastoma after treatment with low dose capecitabine To determine the safety and toxicity of continuous low dose capecitabine with and without standard dose bevacizumab.  Exploratory Objective:  To obtain a signal for efficacy as measured by progression-free survival rate at 6 months
127,Gliadel Wafer and O6-Benzylguanine in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00362921,"OBJECTIVES:  Define the activity of Gliadel? wafers in combination with a 5-day infusion of O6-benzylguanine in patients with recurrent glioblastoma multiforme. Define the toxicity of Gliadel? wafers in combination with 5-day infusion of O6-benzylguanine in patients with recurrent glioblastoma multiforme.  OUTLINE: This is an open-label study.  Patients undergo surgical resection of tumor followed by placement of Gliadel? wafers . Within 6 hours after completion of surgery, patients receive a 1 hour high dose infusion of O6-benzylguanine followed by a lower dose continuous infusion for 5 days. Every 48 hours a repeat infusion of the high dose over 1 hour will be administered for a total of 3 doses.  After completion of study treatment, patients are followed every 8 weeks.  PROJECTED ACCRUAL: A total of 50 patients should be accrued for this study."
128,A Study of Avastin (Bevacizumab) And Fotemustine in Patients With Recurrent Glioblastoma,NCT01474239,"This randomized, non-comparative study will evaluate the efficacy and safety of Avastin (bevacizumab) in patients with recurrent glioblastoma. Patients will be randomized to receive Avastin 10 mg/kg intravenously every 2 weeks or fotemustine 75 mg/m2 on days 1, 8 and 15, followed by, after a 5 weeks interval, 100 mg/m2 intravenously every 3 weeks. Treatment with fotemustine serves as a calibration arm and no formal efficacy comparison will be made between the two treatment arms. The anticipated time of study treatment is until disease progression or unacceptable toxicity."
129,Carmustine in Treating Patients With Progressive or Recurrent Glioblastoma Multiforme,NCT00006656,"OBJECTIVES:  Determine the maximum tolerated dose of intratumoral carmustine in ethanol (DTI-015) in patients with unresectable recurrent glioblastoma multiforme. (Phase I of this study closed to accrual as of 01/15/2002.) Determine the qualitative and quantitative toxicity of this regimen in these patients. Assess the activity of this regimen in these patients. Estimate peripheral blood carmustine levels in these patients treated with this regimen.  OUTLINE: This is a dose-escalation, multicenter study.  Patients receive carmustine in ethanol (DTI-015) intratumorally over 5 minutes during stereotactic biopsy or open craniotomy.  Cohorts of 3-6 patients receive escalating doses of DTI-015 until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 3 of 6 patients experience dose-limiting toxicity. (Phase I of this study closed to accrual as of 01/15/2002.)  Additional patients then receive treatment with DTI-015 at the recommended phase II dose.  Patients are followed at 4, 8, and 12 weeks and then every 1-3 months until disease progression.  PROJECTED ACCRUAL: A total of 12 patients were accrued for phase I of this study and approximately 14-18 patients will be accrued for phase II of this study. (Phase I of this study closed to accrual as of 01/15/2002.)"
130,A Study of Bevacizumab and Extended Treatment of Temozolomide in Patients With Recurrent Glioblastoma Multiforme,NCT01115491,"This is a Phase II, national, multicenter, open-label, non-comparative study to investigate the efficacy and safety of bevacizumab and temozolomide in patients with recurrent glioblastoma multiforme (GBM) after a first treatment failure. Patients will receive bevacizumab 10 mg/kg intravenously every two weeks until disease progression, consent withdrawal, or unacceptable toxicity. Anticipated time on study treatment is 12-24 months."
131,Pembrolizumab and Reirradiation in Bevacizumab Na?ve and Bevacizumab Resistant Recurrent Glioblastoma,NCT03661723,"This research study is a Phase II clinical trial. Phase II clinical trials test the safety and effectiveness of an investigational intervention to learn whether the intervention works in treating a specific disease. ""Investigational"" means that the intervention is being studied.  How the Study Interventions work:  Pembrolizumab: Pembrolizumab has been studied in lab experiments and in other types of cancer, and information from these studies suggests that it may be beneficial in this type of cancer. Pembrolizumab is a drug (an antibody) that may treat cancer by working with the immune system.  The FDA (the U.S. Food and Drug Administration) has not approved pembrolizumab for this specific disease but it has been approved for other uses.  Radiation (Re-irradiation): Radiotherapy destroys cancer cells using radiation aimed at a cancer from a machine.  The FDA (the U.S. Food and Drug Administration) has approved re-irradiation as a treatment option for this disease.  Bevacizumab: Bevacizumab (also known as ""Avastin"") is designed to prevent or slow down the growth of cancer cells by blocking the growth of blood vessels.  The FDA (the U.S. Food and Drug Administration) has approved bevacizumab as a treatment option for this disease.  In this research study, the investigators are looking to determine if this combination (pembrolizumab + re-irradiation) proves helpful in treating this cancer. If the participant has already been receiving bevacizumab, the participant will continue to receive this along with pembrolizumab and re-irradiation. By doing this, the investigators will look to determine if this combination (pembrolizumab and bevacizumab + re-irradiation) proves helpful in treating this cancer.  This study will also test the safety and tolerability of this combination (pembrolizumab + re-irradiation) when given alone or with bevacizumab"
132,Open-label Study Investigating of OKN-007 Combined With Temozolomide in Patients With Recurrent Glioblastoma,NCT04388475,"This is a phase II open-label study investigating the efficacy, safety and pharmacokinetic(PK) properties of OKN-007 combined with temozolomide(TMZ) in patients with recurrent glioblastoma(GBM). All patients will have been previously treated with the standard-of-care treatment which includes surgical resection, radiation and chemotherapy, and in some cases treatment for recurrent disease. Patients with unequivocal recurrence (first or greater) established by MRI and meeting inclusion and exclusion criteria, will be eligible for OKN-007 treatment on this protocol."
133,Evaluation of the Predictive Value of 18F-fluorodeoxyglucose Positron Emission Tomography and Brain Perfusion Computed Tomography for the Efficacy of Anti-angiogenic Therapy (Bevacizumab) in Recurrent Glioblastoma,NCT04566185,"In this pilot study, the study evaluators will evaluate the ability of positron emission tomography (PET) with 18F-fluorodeoxyglucose (FDG PET) and the computed tomography (CT) perfusion scanner, individually and combined, to predict the effectiveness of anti-angiogenic treatment."
134,NovoTTF-100A With Bevacizumab (Avastin) in Patients With Recurrent Glioblastoma,NCT01894061,"This will be an open label Phase II trial in adults with recurrent glioblastoma (GBM). The NovoTTF-100A treatment and Bevacizumab will be administered on an outpatient basis; NovoTTF-100A treatment will be initiated in the outpatient clinic.  PRIMARY OBJECTIVES:  I. To determine the efficacy of the combination of bevacizumab and NovoTTF-100A in bevacizumab-naive patients with recurrent glioblastoma (GBM) as measured by 6-month progression-free survival (PFS6).  SECONDARY OBJECTIVES:  I. To assess safety and tolerability of the combination of bevacizumab and Novo-TTF-100A in this patient population.  II. To evaluate overall survival in this population. III. To determine objective response rate (ORR) by modified Revised Assessment in Neuro-Oncology (RANO) criteria in this population.  IV. To assess time-to-progression in this population. V. To assess neurocognitive function (NCF) and quality of life (QOL) in this population.  OUTLINE:  Patients receive bevacizumab intravenously (IV) on days 1 and 15. Patients also undergo electric field therapy with NovoTTF-100A for at least 18 hours daily. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up for at least 28 days."
135,A Safety Study of Sativex in Combination With Dose-intense Temozolomide in Patients With Recurrent Glioblastoma,NCT01812603,"Patients will receive Sativex and dose-intense Temozolomide in an open-label phase. The incidence of adverse events will be monitored (Part A). An investigator led Safety Review Team will assess the safety profile of the open-label patients and decide whether the study can progress to the randomisation phase (Part B). Patients who enrol in the randomisation phase patients will receive either Sativex or placebo. The safety of Sativex compared to placebo will be assessed by pharmacokinetic analysis of Temozolomide and its metabolites, clinical laboratory tests, adverse events and vital signs."
136,LY3214996 Plus Abemaciclib in Recurrent Glioblastoma Patients,NCT04391595,"This trial is an open-label, multicenter, Phase 0/2 trial that will enroll up to 50 participants with recurrent glioblastoma which are schedule for resection. In the lead-in cohort, a total of 10 participants will be enrolled into the proposed phase 0 clinical trial. Participants will be administered LY3214996 plus Abemaciclib prior to surgical resection of their tumor. If positive PK results are demonstrated in ¡Ã50% of Phase 0 participants and at least 5 participants are enrolled into Phase 2, up to approximately 40 additional participants will be enrolled in the dose expansion cohort in order to achieve a total of 25 participants enrolled into Phase 2 (lead-in cohort + dose expansion)."
137,A Study of ICT-121 Dendritic Cell Vaccine in Recurrent Glioblastoma,NCT02049489,"Immunotherapy holds promise in oncology for the potential to provide targeted anti-tumor therapy with minimal adverse events. The goal of this study is to assess immunotherapy directed to CD133 in an autologous dendritic cell product called ICT-121. CD133 antigen is overexpressed on many types of cancer cells and is associated with shortened survival. CD133 positive cancer stem cells are resistant to chemotherapy. Patients with recurrent glioblastoma who have the HLA A2 phenotype will receive autologous vaccine of DC pulsed with purified peptides from CD133.  Approximately 20 patients with any recurrence of glioblastoma multiforme (GBM) will be treated. After informed consent and screening, patients will undergo apheresis to collect peripheral blood mononuclear cells (PBMCs). Monocytes will be purified and cultured into dendritic cells (DC) that are pulsed with purified peptides from CD133 antigen. The pulsed dendritic cells will then be aliquoted and frozen. Patients will have the autologous DCs reinfused intradermally. Patients will receive at least four intradermal injections of the autologous DC vaccine and additional vaccines during a maintenance phase. The goal is to induce a cytotoxic T cell response to CD133 positive cells. The primary objective of the study is to assess safety and tolerability. Clinical response rates will be monitored as well as the immune responses to CD133."
138,Bevacizumab and Sorafenib in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00621686,"OBJECTIVES:  Primary  Identify the clinical efficacy of bevacizumab and sorafenib, as measured by 6-month progression-free survival, in patients with recurrent glioblastoma multiforme.  Secondary  Assess time to progression of this patient population. Assess overall survival of this patient population.  OUTLINE: This is a multicenter study.  Patients receive oral sorafenib once daily on days 1-14 and bevacizumab IV over 30-90 minutes on day 1. Courses repeat every 14 days in the absence of disease progression or unacceptable toxicity.  Patients undergo blood and plasma sample collection at baseline and then periodically during study treatment for translational research studies. Translational research studies include analysis of circulating endothelial cells and circulating endothelial progenitor cells by flow cytometry and measurement of angiogenic proteins in plasma by ELISA. DNA and buffy coat are extracted and collected from the blood samples for pharmacogenetic studies.  Quality of life is assessed at baseline, prior to every other treatment course, and at the end of treatment.  After completion of study treatment, patients are followed at 28-42 days, every 3 months for 5 years, and then annually for 10 years."
139,A Safety Study of Sativex Compared With Placebo (Both With Dose-intense Temozolomide) in Recurrent Glioblastoma Patients,NCT01812616,"Patients will receive Sativex and dose-intense Temozolomide in an open-label phase. The incidence of adverse events will be monitored (Part A). An investigator led Safety Review Team will assess the safety profile of the open-label patients and decide whether the study can progress to the randomisation phase (Part B). Patients who enrol in the randomisation phase patients will receive either Sativex or placebo. The safety of Sativex compared to placebo will be assessed by pharmacokinetic analysis of Temozolomide and its metabolites, clinical laboratory tests, adverse events and vital signs."
140,DNX-2440 Oncolytic Adenovirus for Recurrent Glioblastoma,NCT03714334,"After inclusion in the trial, stereotactic biopsy will be performed. In the same surgery, the experimental agent will be injected also by stereotactic system, in a different part of the lesion, in a region considered viable tumor, using a cannula especially designed for virus injection.  Follow-up will include clinical visits and MRI No other treatment for the tumor will be used until progression is documented. iRANO criteria and volumetric measurement of the tumor will be used.  Any further treatment after progression will be at the criteria of the treating physician"
141,[18F]DASA-23 and PET Scan in Evaluating Pyruvate Kinase M2 Expression in Patients With Intracranial Tumors or Recurrent Glioblastoma and Healthy Volunteers,NCT03539731,"PRIMARY OBJECTIVES:  I. Determine whether the fluorine F 18 DASA-23 ([18F]DASA 23) PET scan signal change from pre-therapy to one week after initiation of therapy can predict the tumor's responsiveness to therapy and 6 month progression free survival (PFS6), in suspected recurrent glioblastoma.  SECONDARY OBJECTIVES:  I. Determine the sensitivity, specificity, and accuracy of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.  II. Determine whether the [18F]DASA-23 PET scan signal change from pre therapy to one week after initiation of therapy can predict progression free survival (PFS) and overall survival (OS), in suspected recurrent glioblastoma.  OUTLINE: Participants are assigned to 1 of 4 groups.  GROUP I: Healthy volunteers receive [18F]DASA-23 intravenously (IV) and undergo brain PET scan over 15 minutes and 4 vertex-to-toe PET scans over 30 minutes each.  GROUP II: Intracranial tumor participants receive [18F]DASA-23 IV and undergo brain PET scan over 60 minutes and 1 vertex-to-toe PET scan over 30 minutes.  GROUP III: Subjects with glioblastoma will receive [18F]DASA-23 IV and undergo brain PET scan over 60 minutes and 1 vertex-to-toe PET scan over 30 minutes. Participants undergo second PET scan 7 days after the initiation of therapy.  GROUP IV: Healthy volunteers will undergo the same procedures as the healthy volunteers in Group I with the following exceptions:  Group IV healthy volunteers will undergo a 60-minute PET/MRI brain scan instead of a 15-minute PET/MRI brain scan.  Group IV healthy volunteers will not undergo any vertex-to-toe PET scans.  After completion of study treatment, intracranial tumor and recurrent glioblastoma participants are followed up every 3 months for 12 months."
142,"A Study to Evaluate the Safety, Tolerability and Immunogenicity of EGFR(V)-EDV-Dox in Subjects With Recurrent Glioblastoma Multiforme (GBM)",NCT02766699,"This is an open-label, Phase 1, dose exploration and preliminary immunogenicity study of single agent EGFR(V)-EDV-Dox in subjects with recurrent glioblastoma (GBM). Eligible subjects enrolled in the study will receive EGFR(V)-EDV-Dox administered weekly for 7 weeks via IV 20 minute infusion, followed by radiological evaluation at week 8 (1 Cycle). Subjects may continue to receive subsequent cycles of EGFR(V)-EDV-Dox unless the subject becomes intolerant to investigational product (IP), withdraw consent or the individual is no longer receiving clinical benefit (factors taken in to consideration will be disease progression radiologically or clinically, and clinical benefits to quality of life). Tumour assessment will be repeated after each 7 week cycle (week 8).  The study will take place in two parts, Part 1 (Dose Exploration) and Part 2 (Dose Expansion).  Part 1 - Dose Exploration will assess the safety and tolerability of multiple doses of drug at two dose levels (5 x 10^9 and 8 x 10^9) and will enroll prior to Part 2. Three subjects will be recruited per dose level. Enrollment will begin with the 5 x 10^9 dose level, and the decision to enroll to the 8 x 10^9 dose level will follow a comprehensive safety evaluation and a standard 3 + 3 dose escalation study design.  Part 2 - Dose Expansion will be conducted pending safety results of Part 1 to provide guidance regarding the recommended phase 2 dose (RP2D). Subjects will be treated and assessed as outlined in Part 1 above. If 0 out of 3 subjects, or 1 out of 6 subjects, experience dose limiting toxicities (DLTs) at the 5 x 10^9 dose level in Part 1, additional subjects to a total of 10 will be recruited to this dose level in Part 2. Similarly, if 0 out of 3 subjects, or 1 out of 6 subjects, experience DLTs at the 8 x 10^9 dose level in Part 1, additional subjects to a total of 10 will be recruited to this dose level in Part 2. If both dose levels are tolerated, a total of 10 subjects per dose level will be enrolled.  A safety follow-up visit must be performed 30 (+5) days after the last dose of drug for all subjects.All subjects who discontinue investigational product and who have not withdrawn full consent to participate in the study will continue in the long term follow-up phase. Long term follow-up will continue approximately every 1 month for 12 months, from the 30 (+5) day follow-up visit, then approximately every 2-3 months for the extent of subject survival."
143,Patupilone (EPO 906) in Patients With Recurrent or Progressive Glioblastoma,NCT00715013,"Prior to and after re-operation patients with recurrent glioblastoma receive the investigational drug Patupilone, a tubulin-inhibitor.  The purpose of the trial is to prolong PFS in this patient population. Patupilone is already used in clinical trials of other tumor entities such as ovarian cancer, breast and lung cancer. Side effects are expected to be manageable."
144,"Safety and Efficacy of PF-299804 (Dacomitinib), a Pan-HER Irreversible Inhibitor, in Patients With Recurrent Glioblastoma With EGFR Amplification or Presence of EGFRvIII Mutation. A Phase II CT.",NCT01520870,"This multicenter, 2-stage, open-label, phase II trial aims to assess the efficacy and safety of dacomitinib in adult patients with recurrent Glioblastoma (GBM) with EGFR gene amplification and/or EGFRvIII mutation."
145,Exploratory Study of XL765 (SAR245409) or XL147 (SAR245408) in Subjects With Recurrent Glioblastoma Who Are Candidates for Surgical Resection,NCT01240460,"The purpose of this study is to measure what effect the study drug XL765 (SAR245409) or the study drug XL147 (SAR245408) has on tumor tissue in subjects with recurrent glioblastoma (GB) who are candidates for surgical resection. XL765 (SAR245409) and XL147 (SAR245408), the two investigational agents examined in this study, XL147 (SAR245408) is a potent inhibitor of PI3 Kinase (PI3K) and XL765 (SAR245409) is a dual PI3K and mTOR inhibitor. In preclinical studies, inactivation of PI3K has been shown to inhibit growth and induce apoptosis (programmed cell death) in tumor cells."
146,Ramucirumab or Anti-PDGFR Alpha Monoclonal Antibody IMC-3G3 in Treating Patients With Recurrent Glioblastoma Multiforme,NCT00895180,OBJECTIVES:  Primary  To assess the progression-free survival rate at 6 months after treatment with ramucirumab or anti-PDGFR alpha monoclonal antibody IMC-3G3 in patients with recurrent glioblastoma multiforme.  Secondary  To evaluate the acute and late toxicities associated with these regimens. To assess the objective tumor response rate. To estimate the overall survival of these patients. To describe the pharmacokinetic and pharmacodynamic profiles and immunogenicity of these regimens.  OUTLINE: This is a multicenter study. Patients are sequentially assigned to 1 of 2 treatment groups.  Group 1: Patients receive ramucirumab IV over 1 hour on day 1. Courses repeat every 14 days in the absence of disease progression or unacceptable toxicity. Group 2: Patients receive anti-PDGFR alpha monoclonal antibody IMC-3G3 IV over 60-90 minutes on day 1. Courses repeat every 14 days in the absence of disease progression or unacceptable toxicity.
147,Vandetanib and Sirolimus in Patients With Recurrent Glioblastoma,NCT00821080,"Vandetanib will be given to participants in tablet form. The dose taken will depend upon when they are enrolled in the study. The doctor will inform them of which dose they are on and how many tablets they will be taking. Sirolimus will also be given to participants in tablet form. The dose taken will depend upon when they are enrolled in the study. The dose on the first day will be higher than the dose taken every other day. Participants will also be given Bactrim, one double-strength table three times each week (Monday, Wednesday, Friday) to help prevent participants from getting a type of pneumonia called pneumocystis pneumonia. The following tests and procedures will be performed before the participants begin taking the study drugs and before every 4 week cycle: Physical exam; medical history; questions about any side effects; tumor assessment by MRI or CT (only before every other cycle); Mini-Mental Status exam (MMSE); ECG (week 1, 2, 4, 8, 12, then every 3 months thereafter); blood pressure; blood tests and urine tests. Participants will be in this research study for a maximum of 12 months."
148,A Dose- and Efficacy-Finding Study of RO5323441 in Combination With Avastin (Bevacizumab) in Patients With Recurrent Glioblastoma,NCT01308684,"This open-label, multicenter study will evaluate the safety and efficacy of RO5323441 in combination with Avastin (bevacizumab) in patients with recurrent glioblastoma. In the dose-finding part, patients will receive intravenous escalating doses of RO5323441 in combination with 10 mg/kg Avastin once every two weeks. In the efficacy-finding part, patients will be randomized to receive the established dose (from the dose-finding part) of RO5323441 plus Avastin or Avastin alone. Patients in the dose-finding part may continue treatment with RO5323441 and Avastin on the study until evidence of progressive disease or unacceptable adverse events happen. In the efficacy-finding part, patients will receive study treatment until disease progression or death."
149,MRI-Guided Laser Surgery and Doxorubicin Hydrochloride in Treating Patients With Recurrent Glioblastoma Multiforme,NCT01851733,"Evaluate imaging techniques (MRI) and blood tests (biomarkers) to help figure out the best time for chemotherapy to be initiated after the blood brain barrier is disrupted, as it is immediately following a procedure like MRI-guided laser ablation (MLA-Monteris Neuroblate)."
150,A Study of Onartuzumab (MetMAb) in Combination With Bevacizumab Compared to Bevacizumab Alone or Onartuzumab Monotherapy in Participants With Recurrent Glioblastoma,NCT01632228,"This randomized, double-blind, placebo-controlled, multicenter phase II study will evaluate the safety and efficacy of onartuzumab in combination with bevacizumab as compared to bevacizumab alone in participants with recurrent glioblastoma. Participants will be randomized 1:1 to receive either placebo plus bevacizumab every 3 weeks, or onartuzumab plus bevacizumab. Study treatment will continue until disease progression, unacceptable toxicity, participants or physician decision to discontinue, or death."
151,"Sorafenib Combined With Erlotinib, Tipifarnib, or Temsirolimus in Treating Patients With Recurrent Glioblastoma Multiforme or Gliosarcoma",NCT00335764,"PRIMARY OBJECTIVES:  Phase 1  1. Determine the maximum tolerated dose (MTD) of tipifarnib, erlotinib hydrochloride, or temsirolimus in combination with a fixed dose of sorafenib in patients with recurrent glioblastoma multiforme or gliosarcoma who are not taking enzyme-inducing antiepileptic drugs.  SECONDARY OBJECTIVES:  Phase 1 and 2  Characterize the safety profile of the doublet combinations of tipifarnib-sorafenib, erlotinib hydrochloride-sorafenib, and temsirolimus-sorafenib in patients with recurrent glioblastoma multiforme or gliosarcoma. Characterize the pharmacokinetics of these doublet combinations, evaluating single-agent pharmacokinetics of each agent and the combination pharmacokinetics to determine drug-drug interactions.  Phase 2  Determine the efficacy of each of the doublet combinations, in terms of 6-month progression-free survival, in patients with recurrent glioblastoma multiforme or gliosarcoma. Determine the efficacy of each of the doublet combinations, in terms of 12-month survival and objective tumor response, in patients with recurrent glioblastoma multiforme or gliosarcoma.  TERTIARY OBJECTIVES:  Phase 2  Perform exploratory correlative laboratory studies by examining tissue markers of signal transduction pathways by immunohistochemical analysis using tissue blocks obtained prior to initiation of protocol therapy, either from the time of diagnosis or subsequent tumor resection. Determine the relationship between tumor and blood biomarkers and clinical outcome of patients treated with the combination of targeted agents.  OUTLINE:  This is a multicenter, phase I, dose-escalation study of tipifarnib, erlotinib hydrochloride, and temsirolimus followed by a phase II open-label study.  PHASE I:  Patients are sequentially assigned to 1 of 3 treatment groups.  GROUP 1: Patients receive oral sorafenib twice daily and oral erlotinib hydrochloride once daily on days 1-28.  GROUP 2: Patients receive sorafenib as in group 1. Patients also receive temsirolimus IV over 30 minutes on days 1, 8, 15, and 22.  GROUP 3: Patients receive sorafenib as in group 1. Patients also receive oral tipifarnib twice daily on days 1-21.  In all groups, treatment repeats every 28 days for up to 24 courses in the absence of disease progression or unacceptable toxicity.  In each treatment group, cohorts of 3-6 patients receive escalating doses of erlotinib hydrochloride (group 1), temsirolimus (group 2), or tipifarnib (group 3) sequentially until the maximum tolerated dose (MTD) is determined for each group. The MTD is defined as the dose preceding that at which 2 of 3 or 2 of 6 patients experience dose-limiting toxicity during the first course of therapy.  PHASE II:  Patients receive sorafenib as in phase I. Patients also receive erlotinib hydrochloride, temsirolimus, or tipifarnib as in phase I at the MTD determined in phase I.  Tissue that was collected during a prior surgery is examined for biomarkers by immunohistochemistry (in patients enrolled in the phase II portion of the study). Biomarkers examined include epidermal growth factor receptor, Receptor tyrosine-protein kinase (HER-2), Protein kinase B (AKT), S6 ribosomal protein, and Receptor-linked tyrosine kinases (Erk).  After completion of study treatment, patients are followed every 3 months."
152,Clinical Study on the Safety and Tolerability of Macitentan in Combination With Dose-dense Temozolomide in Patients With Recurrent Glioblastoma,NCT01499251,"This is an open-label, single arm, Phase 1 study to assess the safety and tolerability of macitentan in combination with dose-dense temozolomide in adult patients with recurrent glioblastoma or gliosarcoma. The study is composed of three parts. A Phase 1 Dose Escalation Period with a traditional 3+3 design will determine the maximum tolerated dose of macitentan in combination with dose-dense temozolomide. A Phase 1b Period will expand the safety and tolerability data of two doses of macitentan and dose-dense temozolomide selected from the Dose Escalation Period and explore efficacy. An Ancillary Study will further evaluate the effects of macitentan on biomarkers in brain tumor tissue.  The study is planned to have a minimum duration of 12 months. The study will end when all patients (excluding those prematurely withdrawn or lost to follow-up) in each part of the study have completed a visit at month 12 and 30 days of safety follow-up."
153,Neoadjuvant and Adjuvant Fenretinide Compared With Adjuvant Fenretinide Alone in Treating Patients Who Are Undergoing Surgical Resection For Recurrent Glioblastoma Multiforme,NCT00075491,"PRIMARY OBJECTIVES:  I. Compare the efficacy of neoadjuvant and adjuvant fenretinide vs adjuvant fenretinide alone, in terms of 6-month progression-free survival, in patients with recurrent glioblastoma multiforme undergoing surgical resection II. Correlate the serum and glioma tissue pharmacology of this drug with clinical response in patients treated with these regimens.  III. Determine whether this drug induces apoptosis in glioma tissue in patients treated with these regimens.  IV. Correlate the apoptotic index with tissue and serum concentration and clinical response in patients treated with these regimens.  V. Compare radiological response, overall survival, and unexpected toxicity in patients treated with these regimens.  OUTLINE: This is a randomized study. Patients are randomized to 1 of 2 treatment arms.  Arm I: Patients receive neoadjuvant oral fenretinide twice daily for 1 week and then undergo surgical resection.  Arm II: Patients undergo surgical resection.  Beginning two weeks after surgery, all patients receive adjuvant oral fenretinide twice daily on weeks 1 and 4. Courses repeat every 6 weeks in the absence of disease progression or unacceptable toxicity.  PROJECTED ACCRUAL: A total of 21-46 patients (10-23 per treatment arm) will be accrued for this study within 7-46 months."
